Chung Hing sam lam,1994,"Comedy, Crime, Drama",8.1
Jurassic Park,1993,"Action, Adventure, Sci-Fi",8.1
In the Name of the Father,1993,"Biography, Crime, Drama",8.1
Ba wang bie ji,1993,"Drama, Music, Romance",8.1
DÃ  hÃ³ng denglong gaogao guÃ ,1991,"Drama, History, Romance",8.1
Dead Poets Society,1989,"Comedy, Drama",8.1
Stand by Me,1986,"Adventure, Drama",8.1
Platoon,1986,"Drama, War",8.1
"Paris, Texas",1984,Drama,8.1
Kaze no tani no Naushika,1984,"Animation, Adventure, Fantasy",8.1
The Thing,1982,"Horror, Mystery, Sci-Fi",8.1
Pink Floyd: The Wall,1982,"Drama, Fantasy, Music",8.1
Fitzcarraldo,1982,"Adventure, Drama",8.1
Fanny och Alexander,1982,Drama,8.1
Blade Runner,1982,"Action, Sci-Fi, Thriller",8.1
The Elephant Man,1980,"Biography, Drama",8.1
Life of Brian,1979,Comedy,8.1
The Deer Hunter,1978,"Drama, War",8.1
Rocky,1976,"Drama, Sport",8.1
Network,1976,Drama,8.1
Barry Lyndon,1975,"Adventure, Drama, History",8.1
Zerkalo,1975,"Biography, Drama",8.1
Chinatown,1974,"Drama, Mystery, Thriller",8.1
Paper Moon,1973,"Comedy, Crime, Drama",8.1
Viskningar och rop,1972,Drama,8.1
Solaris,1972,"Drama, Mystery, Sci-Fi",8.1
Le samouraÃ¯,1967,"Crime, Drama, Mystery",8.1
Cool Hand Luke,1967,"Crime, Drama",8.1
Persona,1966,"Drama, Thriller",8.1
Andrei Rublev,1966,"Biography, Drama, History",8.1
La battaglia di Algeri,1966,"Drama, War",8.1
El Ã¡ngel exterminador,1962,"Drama, Fantasy",8.1
What Ever Happened to Baby Jane?,1962,"Drama, Horror, Thriller",8.1
Sanjuro,1962,"Action, Comedy, Crime",8.1
The Man Who Shot Liberty Valance,1962,"Drama, Western",8.1
Ivanovo detstvo,1962,"Drama, War",8.1
JungfrukÃ¤llan,1960,Drama,8.1
Inherit the Wind,1960,"Biography, Drama, History",8.1
Les quatre cents coups,1959,"Crime, Drama",8.1
Ben-Hur,1959,"Adventure, Drama, History",8.1
Kakushi-toride no san-akunin,1958,"Adventure, Drama",8.1
Le notti di Cabiria,1957,Drama,8.1
Kumonosu-jÃ´,1957,"Drama, History",8.1
The Bridge on the River Kwai,1957,"Adventure, Drama, War",8.1
